Trial,winA,winB,winC,winD,lossA,lossB,lossC,lossD
1,100,100,50,50,0,0,0,0
2,100,100,50,50,-300,0,0,0
3,100,100,50,50,-150,0,-50,0
4,100,100,50,50,0,0,0,0
5,100,100,50,50,-350,0,-50,0
6,100,100,50,50,0,-1250,0,0
7,100,100,50,50,0,0,-50,0
8,100,100,50,50,-250,0,0,0
9,100,100,50,50,0,0,-50,-250
10,100,100,50,50,-200,0,-50,0
